pocket_cards,pair,suited,connected,win_pct1,win_pct2,win_pct3,win_pct4,win_pct5,win_pct6,win_pct7,win_pct8
8s_As,FALSE,TRUE,FALSE,62.8,45.8,34.9,30.7,26.1,22.7,19.9,18
8s_Kd,FALSE,FALSE,FALSE,58.2,37.7,27.2,25.7,19.4,15.4,14.7,14
9s_Qd,FALSE,FALSE,FALSE,58.5,39.2,31.8,25.6,21.6,15.8,16,13.4
3s_4h,FALSE,FALSE,TRUE,42.6,28.4,20.7,16.3,13.4,11.3,8.4,9.3
Tc_Jc,FALSE,TRUE,TRUE,61.7,43.3,36.5,28.9,26.7,24.7,21.8,20.9
2c_Qs,FALSE,FALSE,FALSE,51.1,31.2,20.3,16.9,16.1,13.6,9.2,8.8
2s_Kd,FALSE,FALSE,FALSE,51.4,34.1,25.8,20.9,15.7,15,11.9,11.1
Tc_Qs,FALSE,FALSE,FALSE,58.7,43.4,32.3,27.9,22.4,18.9,17.7,17.8
4d_Tc,FALSE,FALSE,FALSE,44.2,30.3,23.5,15.6,13.5,11.6,9.2,10.1
5c_Jd,FALSE,FALSE,FALSE,49.6,31.1,21.7,19.4,15.8,11.4,10.6,8.8
Js_Ks,FALSE,TRUE,FALSE,64.4,50,37,29.7,27.7,25.3,22.3,23
2h_3d,FALSE,FALSE,TRUE,34.1,23.7,17.9,14,11.3,9.1,7.2,7.6
6h_Ks,FALSE,FALSE,FALSE,56.7,37.9,28.1,23.3,17.9,14.4,13.6,12.5
2c_Jd,FALSE,FALSE,FALSE,45.1,29.3,23.1,18.1,14.7,12.6,8.8,9.3
9c_Td,FALSE,FALSE,TRUE,53.7,37.7,28.6,23.1,21.4,16.8,14.7,14.3
2d_4d,FALSE,TRUE,FALSE,41.8,29,21.8,16.9,14.8,13.1,13.7,12.4
8s_Kc,FALSE,FALSE,FALSE,56.2,39.1,30.4,23.3,18.4,16.2,13.3,14
4h_Jc,FALSE,FALSE,FALSE,48.6,33,22.3,18.2,15.8,13.9,12,9.6
6s_Th,FALSE,FALSE,FALSE,49.1,30.2,23.4,20,15.8,13.1,10.6,9.8
7h_9c,FALSE,FALSE,FALSE,49.9,35.1,28.5,22.1,14.2,13.6,12,11.2
7d_7h,TRUE,FALSE,FALSE,69.5,46.1,32.6,28.5,24.8,18.7,16.7,14.9
2s_3d,FALSE,FALSE,TRUE,37.7,21.8,19.1,11,10.4,11.6,8.6,8.2
9h_Kd,FALSE,FALSE,FALSE,57.4,41.6,29.2,27.6,22.4,19.8,15.4,15.9
4c_8d,FALSE,FALSE,FALSE,42.6,29,21.7,14.5,11.4,12.6,10.2,8
Jc_Ks,FALSE,FALSE,FALSE,64.3,44.8,35.7,26.1,23,21.6,18.3,18.1
4d_8h,FALSE,FALSE,FALSE,46.7,28.9,21.3,14.4,12.4,12.4,10.9,9
6c_7c,FALSE,TRUE,TRUE,50.7,31.8,27.8,21.2,17.6,19.1,18.5,14.7
7c_Jc,FALSE,TRUE,FALSE,53.9,38.2,31.3,24.7,22.2,17.7,16.6,16.5
7d_8c,FALSE,FALSE,TRUE,51.6,34,26,20.2,17.1,15.8,13.8,13
4d_4s,TRUE,FALSE,FALSE,57.8,36.8,27.6,22.5,17.9,17.7,14.4,15.3
2s_Ts,FALSE,TRUE,FALSE,47.2,32.2,26.3,21.8,16.6,14.3,14,12.8
3h_4s,FALSE,FALSE,TRUE,40.7,26.6,18.9,13.5,12.6,10,9.1,9.2
2c_2h,TRUE,FALSE,FALSE,52.8,29.8,22.7,18.1,15.3,16.3,15.6,14.2
2h_3h,FALSE,TRUE,TRUE,42,27.3,21.5,16.4,14.1,12.7,12.7,12.3
8c_Ah,FALSE,FALSE,FALSE,61.9,42.9,32.8,26.3,23,18.4,16.7,15
7h_As,FALSE,FALSE,FALSE,58.7,41.3,30.7,25.2,21.9,18.3,16.9,15
9d_9s,TRUE,FALSE,FALSE,73.7,53.2,40.8,29.5,27.5,22.6,19.9,16.7
