,Pocket Cards,Pair,Suited,Connected,Win Pct1,Win Pct2,Win Pct3,Win Pct4,Win Pct5,Win Pct6,Win Pct7,Win Pct8
0,"[(8, 'Spade'), (14, 'Spade')]",False,True,False,71.0,47.0,38.0,34.0,23.0,24.0,21.0,21.0
1,"[(8, 'Spade'), (13, 'Diamond')]",False,False,False,57.99999999999999,41.0,26.0,16.0,22.0,19.0,14.000000000000002,10.0
2,"[(9, 'Spade'), (12, 'Diamond')]",False,False,False,55.00000000000001,38.0,33.0,21.0,24.0,20.0,13.0,14.000000000000002
3,"[(3, 'Spade'), (4, 'Heart')]",False,False,True,41.0,25.0,16.0,15.0,14.000000000000002,9.0,13.0,9.0
4,"[(10, 'Club'), (11, 'Club')]",False,True,True,59.0,39.0,39.0,28.999999999999996,26.0,19.0,22.0,17.0
5,"[(2, 'Club'), (12, 'Spade')]",False,False,False,52.0,30.0,20.0,17.0,14.000000000000002,12.0,16.0,16.0
6,"[(2, 'Spade'), (13, 'Diamond')]",False,False,False,53.0,22.0,27.0,25.0,23.0,10.0,12.0,9.0
7,"[(10, 'Club'), (12, 'Spade')]",False,False,False,53.0,45.0,32.0,23.0,25.0,25.0,19.0,20.0
8,"[(4, 'Diamond'), (10, 'Club')]",False,False,False,52.0,28.999999999999996,23.0,13.0,18.0,8.0,5.0,10.0
9,"[(5, 'Club'), (11, 'Diamond')]",False,False,False,50.0,33.0,22.0,20.0,16.0,16.0,15.0,10.0
10,"[(11, 'Spade'), (13, 'Spade')]",False,True,False,67.0,45.0,43.0,32.0,25.0,33.0,23.0,22.0
11,"[(2, 'Heart'), (3, 'Diamond')]",False,False,True,37.0,28.000000000000004,18.0,12.0,12.0,5.0,10.0,8.0
12,"[(6, 'Heart'), (13, 'Spade')]",False,False,False,55.00000000000001,33.0,25.0,20.0,20.0,13.0,19.0,17.0
13,"[(2, 'Club'), (11, 'Diamond')]",False,False,False,41.0,28.000000000000004,21.0,18.0,21.0,19.0,10.0,8.0
14,"[(9, 'Club'), (10, 'Diamond')]",False,False,True,65.0,38.0,34.0,18.0,18.0,25.0,20.0,10.0
15,"[(2, 'Diamond'), (4, 'Diamond')]",False,True,False,31.0,33.0,26.0,23.0,11.0,8.0,17.0,8.0
16,"[(8, 'Spade'), (13, 'Club')]",False,False,False,53.0,32.0,33.0,25.0,20.0,14.000000000000002,11.0,12.0
17,"[(4, 'Heart'), (11, 'Club')]",False,False,False,50.0,28.000000000000004,22.0,15.0,14.000000000000002,8.0,12.0,10.0
18,"[(6, 'Spade'), (10, 'Heart')]",False,False,False,57.99999999999999,31.0,19.0,16.0,26.0,14.000000000000002,10.0,13.0
19,"[(7, 'Heart'), (9, 'Club')]",False,False,False,50.0,39.0,31.0,19.0,15.0,15.0,15.0,7.000000000000001
20,"[(7, 'Heart'), (7, 'Diamond')]",True,False,False,73.0,46.0,38.0,21.0,26.0,19.0,17.0,19.0
21,"[(2, 'Spade'), (3, 'Diamond')]",False,False,True,28.999999999999996,24.0,17.0,11.0,12.0,7.000000000000001,9.0,5.0
22,"[(9, 'Heart'), (13, 'Diamond')]",False,False,False,61.0,28.000000000000004,37.0,25.0,22.0,21.0,15.0,12.0
23,"[(4, 'Club'), (8, 'Diamond')]",False,False,False,47.0,31.0,24.0,12.0,13.0,9.0,8.0,8.0
24,"[(11, 'Club'), (13, 'Spade')]",False,False,False,66.0,40.0,33.0,27.0,33.0,22.0,19.0,12.0
25,"[(4, 'Diamond'), (8, 'Heart')]",False,False,False,42.0,32.0,22.0,19.0,16.0,18.0,10.0,9.0
26,"[(6, 'Club'), (7, 'Club')]",False,True,True,44.0,32.0,30.0,31.0,19.0,11.0,20.0,18.0
27,"[(7, 'Club'), (11, 'Club')]",False,True,False,54.0,38.0,24.0,27.0,22.0,19.0,20.0,15.0
28,"[(7, 'Diamond'), (8, 'Club')]",False,False,True,56.00000000000001,30.0,26.0,18.0,22.0,21.0,25.0,8.0
29,"[(4, 'Spade'), (4, 'Diamond')]",True,False,False,55.00000000000001,39.0,20.0,30.0,13.0,19.0,9.0,9.0
30,"[(2, 'Spade'), (10, 'Spade')]",False,True,False,39.0,30.0,24.0,24.0,19.0,18.0,15.0,10.0
31,"[(3, 'Heart'), (4, 'Spade')]",False,False,True,43.0,21.0,20.0,10.0,14.000000000000002,9.0,7.000000000000001,6.0
32,"[(2, 'Heart'), (2, 'Club')]",True,False,False,53.0,28.999999999999996,24.0,15.0,15.0,14.000000000000002,19.0,13.0
33,"[(2, 'Heart'), (3, 'Heart')]",False,True,True,38.0,31.0,18.0,15.0,12.0,14.000000000000002,11.0,12.0
34,"[(8, 'Club'), (14, 'Heart')]",False,False,False,62.0,38.0,33.0,36.0,27.0,22.0,9.0,14.000000000000002
35,"[(7, 'Heart'), (14, 'Spade')]",False,False,False,54.0,50.0,28.999999999999996,19.0,20.0,22.0,14.000000000000002,10.0
36,"[(9, 'Spade'), (9, 'Diamond')]",True,False,False,67.0,52.0,36.0,26.0,22.0,20.0,22.0,20.0
37,"[(4, 'Club'), (11, 'Heart')]",False,False,False,42.0,30.0,25.0,16.0,14.000000000000002,12.0,9.0,13.0
38,"[(4, 'Heart'), (9, 'Diamond')]",False,False,False,47.0,35.0,20.0,14.000000000000002,9.0,9.0,10.0,6.0
39,"[(3, 'Heart'), (9, 'Club')]",False,False,False,43.0,27.0,18.0,15.0,17.0,8.0,4.0,15.0
40,"[(4, 'Diamond'), (13, 'Club')]",False,False,False,48.0,28.999999999999996,19.0,27.0,15.0,16.0,13.0,10.0
41,"[(10, 'Spade'), (10, 'Club')]",True,False,False,83.0,52.0,43.0,41.0,30.0,24.0,20.0,20.0
42,"[(3, 'Diamond'), (8, 'Spade')]",False,False,False,42.0,28.000000000000004,15.0,13.0,12.0,9.0,2.0,8.0
43,"[(13, 'Heart'), (14, 'Diamond')]",False,False,True,63.0,41.0,39.0,31.0,26.0,20.0,20.0,22.0
44,"[(7, 'Diamond'), (13, 'Spade')]",False,False,False,52.0,39.0,30.0,21.0,18.0,15.0,16.0,13.0
45,"[(2, 'Club'), (5, 'Club')]",False,True,False,47.0,30.0,18.0,18.0,17.0,7.000000000000001,16.0,13.0
46,"[(7, 'Club'), (13, 'Spade')]",False,False,False,56.99999999999999,28.000000000000004,23.0,24.0,22.0,17.0,22.0,14.000000000000002
47,"[(6, 'Club'), (10, 'Club')]",False,True,False,54.0,39.0,26.0,16.0,19.0,17.0,10.0,19.0
48,"[(2, 'Club'), (3, 'Diamond')]",False,False,True,30.0,23.0,9.0,16.0,16.0,9.0,8.0,6.0
49,"[(5, 'Diamond'), (13, 'Club')]",False,False,False,57.99999999999999,39.0,27.0,22.0,22.0,14.000000000000002,15.0,10.0
50,"[(4, 'Club'), (6, 'Heart')]",False,False,False,43.0,35.0,21.0,17.0,15.0,6.0,4.0,8.0
51,"[(7, 'Diamond'), (13, 'Diamond')]",False,True,False,70.0,32.0,28.999999999999996,22.0,20.0,20.0,26.0,16.0
